date,country,year,quarter,hpi,hpi_target_1q,hicp,inflation_yoy,unemployment_rate,housing_overburden_rate,ecb_main_refinancing_rate,hpi_lag_1,hpi_lag_2,hpi_lag_4,hpi_qoq_growth,hpi_yoy_growth,hpi_rolling_mean_4,hpi_rolling_std_4,inflation_yoy_lag_1,inflation_yoy_lag_4,unemployment_rate_lag_1,unemployment_rate_lag_4,housing_overburden_rate_lag_1,housing_overburden_rate_lag_4,ecb_main_refinancing_rate_lag_1,ecb_main_refinancing_rate_lag_4,unemployment_change_1q,inflation_change_1q,ecb_rate_change_1q,hpi_target_1q_growth
2023-07-01,Dinamarca,2023,3,138.07,140.26,118.33333333333331,2.0408163265306145,4.9,15.4,4.25,135.67,135.13,144.39,1.7689983047099567,-4.377034420666249,139.045,4.437337790461943,3.630460448642281,10.199556541019938,4.9,4.6,15.4,14.7,3.5,0.5,0.0,-1.5896441221116664,0.75,1.5861519519084506
2023-10-01,Dinamarca,2023,4,140.26,136.66,117.56666666666666,0.0851305334846896,5.9,15.4,4.5,138.07,135.67,140.99,1.5861519519084544,-0.5177672175331716,137.46499999999997,2.6749392516457773,2.0408163265306145,10.228339067876124,4.9,4.6,15.4,14.7,4.25,1.25,1.0,-1.9556857930459248,0.25,-2.566661913589045
2024-01-01,Dinamarca,2024,1,136.66,140.94,118.53333333333336,0.7650892604137427,5.8,14.6,4.5,140.26,138.07,135.13,-2.566661913589041,1.132243025234958,137.28249999999997,2.3607255240699327,0.0851305334846896,7.986536107711117,5.9,4.7,15.4,15.4,4.5,2.5,-0.10000000000000053,0.6799587269290531,0.0,3.1318600907361343
2024-04-01,Dinamarca,2024,2,140.94,145.27,118.73333333333332,1.4525776132156,6.1,14.6,4.5,136.66,140.26,135.67,3.1318600907361382,3.8844254440922876,137.665,1.9906531591402865,0.7650892604137427,3.630460448642281,5.8,4.9,14.6,15.4,4.5,3.5,0.2999999999999998,0.6874883528018574,0.0,3.0722293174400543
2024-07-01,Dinamarca,2024,3,145.27,145.57,119.73333333333332,1.183098591549303,6.4,14.6,4.25,140.94,136.66,138.07,3.072229317440045,5.214746143260673,138.9825,1.9740377402661073,1.4525776132156,2.0408163265306145,6.1,4.9,14.6,15.4,4.5,4.25,0.3000000000000007,-0.269479021666297,-0.25,0.20651201211535963
2024-10-01,Dinamarca,2024,4,145.57,148.72,119.53333333333336,1.6728097533314612,6.5,14.6,3.4,145.27,140.94,140.26,0.2065120121153674,3.7858263225438504,140.7825,3.532254945497926,1.183098591549303,0.0851305334846896,6.4,5.9,14.6,15.4,4.25,4.5,0.09999999999999964,0.4897111617821581,-0.8500000000000001,2.1639073985024426
2025-01-01,Dinamarca,2025,1,148.72,151.26,120.46666666666664,1.63104611923508,6.4,23.4,3.15,145.57,145.27,136.66,2.1639073985024515,8.824820722962091,142.11,4.204307315122694,1.6728097533314612,0.7650892604137427,6.5,5.8,14.6,14.6,3.4,4.5,-0.09999999999999964,-0.041763634096381175,-0.25,1.707907477138241
2025-04-01,Dinamarca,2025,2,151.26,154.48,120.63333333333333,1.6002245929253256,6.3,23.4,2.4,148.72,145.57,140.94,1.7079074771382485,7.322264793529154,145.125,3.196732706998418,1.63104611923508,1.4525776132156,6.4,6.1,23.4,14.6,3.15,4.5,-0.10000000000000053,-0.030821526309754432,-0.75,2.1287848737273563
2025-07-01,Dinamarca,2025,3,154.48,156.61,122.23333333333332,2.087973273942101,6.5,23.4,2.15,151.26,148.72,145.27,2.128784873727363,6.339918771941888,147.70499999999998,2.8375870030701735,1.6002245929253256,1.183098591549303,6.3,6.4,23.4,14.6,2.4,4.25,0.20000000000000018,0.48774868101677527,-0.25,1.378819264629741
2015-01-01,Eslovaquia,2015,1,98.26,100.16,99.80666666666669,-0.4984713545128305,12.2,9.1,0.05,96.7,94.81,93.4,1.6132368148914278,5.203426124196997,94.955,1.3522943466568216,-0.0531844169658346,-0.1095435684647316,12.4,13.8,9.0,9.0,0.05,0.25,-0.20000000000000107,-0.4452869375469959,0.0,1.9336454304905264
2015-04-01,Eslovaquia,2015,2,100.16,100.23,100.37333333333332,-0.1028431144876163,11.5,9.1,0.05,98.26,96.7,94.91,1.933645430490527,5.531556211147404,96.16999999999999,1.6417673403987607,-0.4984713545128305,-0.1060480530240104,12.2,13.3,9.1,9.0,0.05,0.25,-0.6999999999999993,0.3956282400252142,0.0,0.0698881789137454
2015-07-01,Eslovaquia,2015,3,100.23,101.34,100.05,-0.3188203646507959,11.3,9.1,0.05,100.16,98.26,94.81,0.06988817891373511,5.716696550996736,97.4825,2.275087910389399,-0.1028431144876163,-0.1392896229230777,11.5,12.9,9.1,9.0,0.05,0.15,-0.1999999999999993,-0.2159772501631796,0.0,1.1074528584256205
2015-10-01,Eslovaquia,2015,4,101.34,103.15,99.77,-0.4556338965012729,10.8,9.1,0.05,100.23,100.16,96.7,1.1074528584256171,4.79834539813857,98.8375,1.6921854705281776,-0.3188203646507959,-0.0531844169658346,11.3,12.4,9.1,9.0,0.05,0.05,-0.5,-0.136813531850477,0.0,1.7860667061377562
2016-01-01,Eslovaquia,2016,1,103.15,106.06,99.33,-0.4775900073475503,10.3,7.7,0.05,101.34,100.23,98.26,1.7860667061377455,4.976592713209849,99.9975,1.2782377191534673,-0.4556338965012729,-0.4984713545128305,10.8,12.2,9.1,9.1,0.05,0.05,-0.5,-0.02195611084627741,0.0,2.82113427047988
2016-04-01,Eslovaquia,2016,2,106.06,107.73,99.75,-0.621014877789583,9.8,7.7,0.0,103.15,101.34,100.16,2.8211342704798748,5.890575079872207,101.22000000000001,1.3955882869480782,-0.4775900073475503,-0.1028431144876163,10.3,11.5,7.7,9.1,0.05,0.05,-0.5,-0.14342487044203267,-0.05,1.5745804261738654
2016-07-01,Eslovaquia,2016,3,107.73,109.72,99.32666666666668,-0.7229718474096258,9.5,7.7,0.0,106.06,103.15,100.23,1.574580426173866,7.482789583956895,102.69500000000001,2.5457480891347686,-0.621014877789583,-0.3188203646507959,9.8,11.3,7.7,9.1,0.0,0.05,-0.3000000000000007,-0.10195696962004286,0.0,1.8472106191404387
2016-10-01,Eslovaquia,2016,4,109.72,106.88,99.66666666666669,-0.1035715478934773,9.0,7.7,0.0,107.73,106.06,101.34,1.847210619140438,8.269192816262084,104.57,2.8667635642538256,-0.7229718474096258,-0.4556338965012729,9.5,10.8,7.7,9.1,0.0,0.05,-0.5,0.6194002995161485,0.0,-2.5884068538097003
2017-01-01,Eslovaquia,2017,1,106.88,113.01,100.33,1.0067451927917137,8.6,8.4,0.0,109.72,107.73,103.15,-2.5884068538096994,3.6160930683470482,106.665,2.780197834687297,-0.1035715478934773,-0.4775900073475503,9.0,10.3,7.7,7.7,0.0,0.05,-0.40000000000000036,1.110316740685191,0.0,5.735404191616776
2017-04-01,Eslovaquia,2017,2,113.01,115.6,100.73333333333332,0.98579782790309,8.2,8.4,0.0,106.88,109.72,106.06,5.7354041916167775,6.5528945879690825,107.5975,1.5706978279308215,1.0067451927917137,-0.621014877789583,8.6,9.8,8.4,7.7,0.0,0.0,-0.40000000000000036,-0.0209473648886237,0.0,2.2918325811874958
2017-07-01,Eslovaquia,2017,3,115.6,116.16,100.93333333333334,1.6175582253842524,7.9,8.4,0.0,113.01,106.88,107.73,2.291832581187503,7.305300287756422,109.335,2.7237780134707394,0.98579782790309,-0.7229718474096258,8.2,9.5,8.4,7.7,0.0,0.0,-0.29999999999999893,0.6317603974811624,0.0,0.4844290657439466
2017-10-01,Eslovaquia,2017,4,116.16,119.56,101.61333333333334,1.953177257525085,7.6,8.4,0.0,115.6,113.01,109.72,0.48442906574395206,5.869485964272703,111.30250000000001,3.8055606244897167,1.6175582253842524,-0.1035715478934773,7.9,9.0,8.4,7.7,0.0,0.0,-0.3000000000000007,0.33561903214083255,0.0,2.9269972451790682
2018-01-01,Eslovaquia,2018,1,119.56,120.98,102.76333333333334,2.425329745174265,7.1,4.1,0.0,116.16,115.6,106.88,2.926997245179064,11.863772455089826,112.9125,4.249293078462171,1.953177257525085,1.0067451927917137,7.6,8.6,8.4,8.4,0.0,0.0,-0.5,0.47215248764918005,0.0,1.1876881900301117
2018-04-01,Eslovaquia,2018,2,120.98,120.68,103.61,2.8557246856386387,6.7,4.1,0.0,119.56,116.16,113.01,1.1876881900301228,7.052473232457301,116.0825,2.6939484652333427,2.425329745174265,0.98579782790309,7.1,8.2,4.1,8.4,0.0,0.0,-0.39999999999999947,0.43039494046437365,0.0,-0.24797487187964715
2018-07-01,Eslovaquia,2018,3,120.68,124.06,103.70333333333332,2.7443857331572064,6.3,4.1,0.0,120.98,119.56,115.6,-0.24797487187965261,4.394463667820081,118.075,2.61005108506833,2.8557246856386387,1.6175582253842524,6.7,7.9,4.1,8.4,0.0,0.0,-0.40000000000000036,-0.11133895248143233,0.0,2.800795492210802
