date,country,hicp,inflation_yoy,unemployment_rate,housing_overburden_rate,ecb_main_refinancing_rate,forecast_origin,hpi,forecast_step,iso_alpha
2026-04-01,Luxemburgo,128.79,2.812666311868006,6.0,8.1,2.15,2026-01-01,170.77808921289795,3,LUX
2026-04-01,Malta,130.0533333333333,2.522598276224497,2.8,6.0,2.15,2026-01-01,185.1445212551442,3,MLT
2026-04-01,Países Bajos,137.18333333333334,2.641161213088594,3.9,6.5,2.15,2026-01-01,232.03066209687,3,NLD
2026-04-01,Polonia,153.93333333333334,2.827877978178561,3.2,4.1,2.15,2026-01-01,229.45170334887223,3,POL
2026-04-01,Portugal,125.9,2.310588617709985,6.0,6.3,2.15,2026-01-01,296.4466301940255,3,PRT
2026-04-01,Rumanía,162.36333333333334,7.908903608852658,6.0,5.0,2.15,2026-01-01,173.12855725255108,3,ROU
2026-04-01,Suecia,132.90333333333334,3.2339081352597,8.8,10.8,2.15,2026-01-01,136.00763265310528,3,SWE
2026-07-01,Alemania,132.5666666666667,2.1052631578947434,4.0,11.2,2.15,2026-04-01,162.85274970238228,4,DEU
2026-07-01,Austria,139.19,3.911907428144823,5.7,6.5,2.15,2026-04-01,177.23714809557555,4,AUT
2026-07-01,Bulgaria,143.32666666666668,3.652098449967456,3.7,6.9,2.15,2026-04-01,287.25545037769604,4,BGR
2026-07-01,Bélgica,135.3733333333333,2.633308061662865,6.2,6.7,2.15,2026-04-01,155.05386805386007,4,BEL
2026-07-01,Chequia,156.1,2.293577981651373,2.9,8.2,2.15,2026-04-01,275.8405102677941,4,CZE
2026-07-01,Chipre,119.39666666666666,0.0391006842619612,4.2,2.4,2.15,2026-04-01,166.21943501765713,4,CYP
2026-07-01,Croacia,139.69333333333336,4.602635782747622,4.5,3.2,2.15,2026-04-01,256.81825652525185,4,HRV
2026-07-01,Dinamarca,122.23333333333332,2.087973273942101,6.5,23.4,2.15,2026-04-01,166.53201962104959,4,DNK
2026-07-01,Eslovaquia,150.04666666666665,4.532998931772792,5.4,3.5,2.15,2026-04-01,231.34406706060264,4,SVK
2026-07-01,Eslovenia,131.98,2.884315559713113,4.1,3.5,2.15,2026-04-01,222.06765301061722,4,SVN
2026-07-01,España,126.96333333333332,2.812643398925685,10.5,7.2,2.15,2026-04-01,204.93545794042308,4,ESP
2026-07-01,Estonia,164.93,5.6837113930539696,7.4,8.8,2.15,2026-04-01,239.71356097182894,4,EST
2026-07-01,Finlandia,122.21,2.1452650934722595,9.9,4.7,2.15,2026-04-01,97.11529939761064,4,FIN
2026-07-01,Francia,125.15666666666668,0.9463637585697128,7.8,6.4,2.15,2026-04-01,134.65172815017283,4,FRA
2026-07-01,Hungría,174.74,4.222831921746395,4.5,5.3,2.15,2026-04-01,425.8430716789745,4,HUN
2026-07-01,Irlanda,122.53333333333336,2.054414214325395,4.9,5.3,2.15,2026-04-01,217.35670617999534,4,IRL
2026-07-01,Italia,124.23333333333332,1.7194323144104962,6.2,5.0,2.15,2026-04-01,123.14919657731652,4,ITA
2026-07-01,Letonia,151.74,4.095492899773623,7.1,5.7,2.15,2026-04-01,242.25411515832477,4,LVA
2026-07-01,Lituania,156.09,3.5903902309530222,6.9,5.7,2.15,2026-04-01,289.80264073203995,4,LTU
2026-07-01,Luxemburgo,128.79,2.812666311868006,6.0,8.1,2.15,2026-04-01,172.99041008203602,4,LUX
2026-07-01,Malta,130.0533333333333,2.522598276224497,2.8,6.0,2.15,2026-04-01,189.05516996394374,4,MLT
2026-07-01,Países Bajos,137.18333333333334,2.641161213088594,3.9,6.5,2.15,2026-04-01,237.46946440853048,4,NLD
2026-07-01,Polonia,153.93333333333334,2.827877978178561,3.2,4.1,2.15,2026-04-01,234.1790116589737,4,POL
2026-07-01,Portugal,125.9,2.310588617709985,6.0,6.3,2.15,2026-04-01,305.34486629612866,4,PRT
2026-07-01,Rumanía,162.36333333333334,7.908903608852658,6.0,5.0,2.15,2026-04-01,175.83442491817334,4,ROU
2026-07-01,Suecia,132.90333333333334,3.2339081352597,8.8,10.8,2.15,2026-04-01,137.3078259492372,4,SWE
